MammalBland,Common Name,Order,Family,Species Name,Status,States
Chipmunk,Cliff Chipmunk,Rodentia,Sciuridae,Tamias dorsalis,,"Arizona, Colorado, Idaho, New Mexico, Nevada, Utah, Wyoming"
Dolphin,Clymene Dolphin,Cetacea,Delphinidae,Stenella clymene,Data deficient,"Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Texas, Virginia"
Mole,Coast Mole,Soricomorpha,Talpidae,Scapanus orarius,Least concern,"California, Idaho, Oregon, Washington"
Shrew,Cockrum's Grey Shrew,Soricomorpha,Soricidae,Notiosorex cockrumi,,Arizona
Peccary,Collared Peccary,Artiodactyla,Tayassuidae,Pecari tajacu,Common,"Arizona, New Mexico, Oklahoma, Texas"
Pika,Collared Pika,Lagomorpha,Ochotonidae,Ochotona collaris,common,Alaska
Chipmunk,Colorado Chipmunk,Rodentia,Sciuridae,Tamias quadirivittatus,,"Arizona, Colorado, New Mexico, Oklahoma, Texas, Utah"
Squirrel,Columbian Ground Squirrel,Rodentia,Sciuridae,Urocitellus columbianus,,"Idaho, Montana, Oregon, Washington"
Whale,Common Minke Whale,Cetacea,Balaenopteridae,Balaenoptera acutorostrata,Lower Risk,"Alaska, Alabama, California, Connecticut, Delaware, Florida, Georgia, Hawaii, Louisiana, Massachusetts, Maryland, Maine, Mississippi, North Carolina, New Hampshire, New Jersey, New York, Oregon, Rhode Island, South Carolina, Texas, Virginia, Washington"
Muskrat,Common Muskrat,Rodentia,Cricetidae,Ondatra zibethicus,"Data Deficient as O. z. ripensis, otherwise Lower Risk (lc)","Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Porcupine,Common Porcupine,Rodentia,Erethizontidae,Erethizon dorsatum,common,"Alaska, Arizona, California, Colorado, Connecticut, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Massachusetts, Maine, Michigan, Minnesota, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, South Dakota, Tennessee, Texas, Utah, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Deermouse,Cotton Deermouse,Rodentia,Cricetidae,Peromyscus gossypinus,"U.S. ESA - Endangered as P. g. allapaticola; IUCN - Extinct as P. g. restrictus, Vulnerable as P. g. allapaticola, otherwise Lower Risk (lc)","Alabama, Arkansas, Florida, Georgia, Illinois, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, Oklahoma, South Carolina, Tennessee, Texas, Virginia"
Oryzomys,Coues' Oryzomys,Rodentia,Cricetidae,Oryzomys couesi,Lower Risk,Texas
Shrew,Crawford's Grey Shrew,Soricomorpha,Soricidae,Notiosorex crawfordi,Least concern,"Arkansas, Arizona, California, Colorado, New Mexico, Nevada, Oklahoma, Texas, Utah"
Vole,Creeping Vole,Rodentia,Cricetidae,Microtus oregoni,Lower Risk,"California, Oregon, Washington"
Whale,Cuvier's Beaked Whale,Cetacea,,Ziphius cavirostris,Data deficient,"Alaska, Alabama, California, Connecticut, Delaware, Florida, Georgia, Hawaii, Louisiana, Massachusetts, Maryland, Maine, Mississippi, North Carolina, New Hampshire, New Jersey, New York, Oregon, Rhode Island, South Carolina, Texas, Virginia, Washington"
Porpoise,Dall's Porpoise,Cetacea,Phocoenidae,Phocoenoides dalli,Lower Risk,"Alaska, California, Oregon, Washington"
Sheep,Dall's Sheep,Artiodactyla,Bovidae,Ovis dalli,Locally abundant,Alaska
Mouse,Dark Kangaroo Mouse,Rodentia,Heteromyidae,Microdipodops megacephalus,,"California, Idaho, Nevada, Oregon, Utah"
Myotis,Dark-nosed Small-footed Myotis,Chiroptera,Vespertilionidae,Myotis melanorhinus,Not evaluated,"Arizona, California, Colorado, Idaho, New Mexico, Nevada, Oklahoma, Oregon, Texas, Utah, Washington"
Rat,Desert Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys deserti,,"Arizona, California, Nevada, Utah"
Gopher,Desert Pocket Gopher,Rodentia,Geomyidae,Geomys arenarius,Lowered risk,"New Mexico, Texas"
Mouse,Desert Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus penicillatus,,"Arizona, California, New Mexico, Nevada, Utah"
Rabbit,Desert Rabbit,Lagomorpha,Leporidae,Sylvilagus audubonii,Lower Risk,"Arizona, California, Colorado, Kansas, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oklahoma, South Dakota, Texas, Utah, Wyoming"
Woodrat,Desert Woodrat,Rodentia,Cricetidae,Neotoma lepida,"Data Deficient as N. l. intermedia, otherwise Lower Risk","Arizona, California, Colorado, Idaho, Nevada, Oregon, Utah"
Squirrel,Douglas' Squirrel,Rodentia,Sciuridae,Tamiasciurus douglasii,Lower Risk,"California, Nevada, Oregon, Washington"
Rat,Dulzura Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys simulans,,California
Shrew,Dusky Shrew,Soricomorpha,Soricidae,Sorex monticolus,Least concern,"Alaska, Arizona, California, Colorado, Idaho, Montana, New Mexico, Nevada, Oregon, Utah, Washington, Wyoming"
Woodrat,Dusky-footed Woodrat,Rodentia,Cricetidae,Neotoma fuscipes,"U.S. ESA - Endangered as N. f. riparia; IUCN - Critically Endangered as N. f. riparia, Data Deficient as N. f. annectens, otherwise Lower Risk (lc)","California, Oregon"
Shrew,Dwarf Shrew,Soricomorpha,Soricidae,Sorex nanus,Least concern,"Arizona, Colorado, Montana, Nebraska, New Mexico, South Dakota, Utah, Wyoming"
Whale,Dwarf Sperm Whale,Cetacea,Physeteridae,Kogia sima,Lower Risk,"Alabama, California, Connecticut, Delaware, Florida, Georgia, Hawaii, Louisiana, Massachusetts, Maryland, Maine, Mississippi, North Carolina, New Hampshire, New Jersey, New York, Oregon, Rhode Island, Texas, Virginia, Washington"
Chipmunk,Eastern Chipmunk,Rodentia,Sciuridae,Tamias striatus,,"Alabama, Arkansas, Connecticut, Delaware, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Virginia, Vermont, Wisconsin, West Virginia"
Cottontail,Eastern Cottontail,Lagomorpha,Leporidae,Sylvilagus floridanus,Lower Risk,"Alabama, Arkansas, Arizona, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Coyote,Eastern Coyote,Carnivora,Canidae,Canis latrans,Common,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Squirrel,Eastern Fox Squirrel,Rodentia,Sciuridae,Sciurus niger,,"Alabama, Arkansas, Colorado, Delaware, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Maryland, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New York, Ohio, Oklahoma, Pennsylvania, South Carolina, South Dakota, Tennessee, Texas, Virginia, Wisconsin, West Virginia, Wyoming"
Squirrel,Eastern Gray Squirrel,Rodentia,Sciuridae,Sciurus carolinensis,,"Alabama, Arkansas, Connecticut, Delaware, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Virginia, Vermont, Wisconsin, West Virginia"
Mouse,Eastern Harvest Mouse,Rodentia,Cricetidae,Reithrodontomys humulis,Lower Risk,"Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, Missouri, North Carolina, Ohio, Oklahoma, South Carolina, Tennessee, Texas, Virginia, West Virginia"
Vole,Eastern Heather Vole,Rodentia,Cricetidae,Phenacomys ungava,Lower Risk,Minnesota
